"1","Adjustable Race","NA",100.8,"NULL","NULL","NULL"
"2","Bearing Ball","NA",209.22,"NULL","NULL","NULL"
"3","BB Ball Bearing","NA",100,"NULL","NULL","NULL"
"4","Headset Ball Bearings","NA",49,"NULL","NULL","NULL"
"5","Blade","NA",19,"NULL","NULL","NULL"
"6","LL Crankarm","Black",100.88,"NULL","NULL","NULL"
"7","ML Crankarm","Black",8393.2,"NULL","NULL","NULL"
"8","HL Crankarm","Black",99.99,"NULL","NULL","NULL"
"9","Chainring Bolts","Silver",123,"NULL","NULL","NULL"
"10","Chainring Nut","Silver",456,"NULL","NULL","NULL"
